"dw_trade_date","stock_code","stock_type","price","buy_amount","sale_amount","cn_buy_amount","cn_sale_amount","cc_buy_amount","cc_sale_amount"
"2017-01-03","600909","0",12.63,0,0,128600,0,0,0
"2017-01-04","600158","0",23.773,0,0,0,-61500,0,0
"2017-01-04","600158","0",24.13,0,0,0,0,14100,0
"2017-01-04","600909","0",12.46,0,0,0,-128600,0,0
"2017-01-04","603799","0",36.68,0,0,0,-100,0,0
"2017-01-04","600158","0",24.19,0,0,0,0,17400,0
"2017-01-04","601628","0",25.25,0,0,0,0,28600,0
"2017-01-06","601628","0",25.15,0,0,0,-28600,0,0
"2017-01-09","000901","0",38,0,0,38700,0,0,0
"2017-01-09","600879","0",16.73,0,0,0,0,42300,0
"2017-01-10","000901","0",37.302,0,0,0,-38700,0,0
"2017-01-10","600879","0",16.846,0,0,0,0,41200,0
"2017-01-10","600879","0",17,0,0,0,-42300,0,0
"2017-01-10","000901","0",37.286,0,0,39200,0,0,0
"2017-01-10","601375","0",9.2,0,0,0,-1000,0,0
"2017-01-11","000901","0",37.387,0,0,0,-14000,0,0
"2017-01-11","000901","0",37.5,0,0,27100,-12500,0,0
"2017-01-11","600879","0",16.947,0,0,0,-31100,0,0
"2017-01-11","000901","0",37.3,0,0,0,-3600,0,0
"2017-01-11","600879","0",16.953,0,0,0,-10100,0,0
"2017-01-11","000901","0",37.388,0,0,12100,0,0,0
"2017-01-11","600879","0",16.9,0,0,0,0,41400,0
"2017-01-11","000901","0",37.502,0,0,0,-9100,0,0
"2017-01-12","600879","0",16.65,0,0,0,-12798,0,0
"2017-01-12","600879","0",16.6,0,0,0,-28602,0,0
"2017-01-12","600680","0",35.8,0,0,21700,0,0,0
"2017-01-12","000901","0",36.682,0,0,0,-28900,0,0
"2017-01-12","000901","0",36.606,0,0,0,-10300,0,0
"2017-01-12","603799","0",38.5,0,0,17100,0,0,0
"2017-01-13","603799","0",39.03,0,0,0,-4700,0,0
"2017-01-13","000768","0",22.42,0,0,33800,0,0,0
"2017-01-13","603799","0",39.01,0,0,4100,0,0,0
"2017-01-13","600680","0",35.31,0,0,0,-21700,0,0
"2017-01-13","603799","0",38.9,0,0,600,0,0,0
"2017-01-16","000768","0",22.556,0,0,0,-33800,0,0
"2017-01-16","603799","0",35.86,0,0,19200,0,0,0
"2017-01-16","603799","0",37.802,0,0,0,-17100,0,0
"2017-01-17","603799","0",37.6,0,0,100,0,0,0
"2017-01-17","603799","0",37.035,0,0,0,-19200,0,0
"2017-01-19","300331","c",27.544,0,0,30220,0,0,0
"2017-01-19","300543","c",86.428,0,0,5600,0,0,0
"2017-01-19","603799","0",37.82,0,0,0,-100,0,0
"2017-01-19","300543","c",87.01,0,0,1200,0,0,0
"2017-01-20","601211","0",19.19,0,0,20600,0,0,0
"2017-01-20","300543","c",89.48,0,0,0,-2200,0,0
"2017-01-20","300331","c",28.153,0,0,0,-10720,0,0
"2017-01-20","601211","0",19.2,0,0,0,0,35200,0
"2017-01-20","300331","c",28.281,0,0,0,-19500,0,0
"2017-01-20","300543","c",89.8,0,0,0,-900,0,0
"2017-01-20","300543","c",89.708,0,0,0,-3700,0,0
"2017-03-27","002460","0",35.5,0,0,0,-43800,0,0
"2017-03-27","002616","0",24.478,0,0,33000,0,0,0
"2017-03-27","000973","0",8.98,0,0,90400,0,0,0
"2017-03-27","601375","0",12.65,0,0,0,-128100,0,0
"2017-03-27","002524","0",12.61,0,0,0,-100,0,0
"2017-03-27","002460","0",36,0,0,0,0,44500,0
"2017-03-28","002616","0",24.424,0,0,0,-33000,0,0
"2017-03-28","002460","0",37.91,0,0,0,-44500,0,0
"2017-03-28","000728","0",20.997,0,0,0,0,80300,0
"2017-03-28","002460","0",38.1,0,0,100,0,0,0
"2017-03-28","002301","0",23.57,0,0,31500,0,0,0
"2017-03-28","000973","0",9.01,0,0,0,-90400,0,0
"2017-03-29","000728","0",20.695,0,0,0,-80300,0,0
"2017-03-29","000728","0",20.98,0,0,80600,0,0,0
"2017-03-29","002524","0",11.975,0,0,0,0,131000,0
"2017-03-29","002301","0",23.853,0,0,0,-31500,0,0
"2017-03-30","000728","0",21.15,0,0,0,-80600,0,0
"2017-03-30","002460","0",38.9,0,0,0,0,28300,0
"2017-03-30","002460","0",38.8,0,0,0,0,13600,0
"2017-03-30","002524","0",11.641,0,0,0,-131000,0,0
"2017-03-31","002460","0",40.62,0,0,0,-42000,0,0
"2017-03-31","002466","0",43.4,0,0,19300,0,0,0
"2017-03-31","002460","0",41.99,0,0,0,0,40500,0
"2017-03-31","603955","0",57.7,0,0,5000,0,0,0
"2017-04-24","600008","0",6.38,0,0,0,-135400,0,0
"2017-04-25","002497","0",8.93,0,0,77452,0,0,0
"2017-04-26","600008","0",7.02,0,0,0,0,95300,0
"2017-04-26","002460","0",41.099,0,0,30000,0,0,0
"2017-04-26","002497","0",9.06,0,0,0,-77452,0,0
"2017-04-27","000605","0",34.73,0,0,37900,0,0,0
"2017-04-27","600008","0",7.7,0,0,0,-95300,0,0
"2017-04-27","600008","0",7.389,0,0,0,0,96200,0
"2017-04-27","002460","0",41.701,0,0,0,-30000,0,0
"2017-04-28","000605","0",34.885,0,0,0,-19900,0,0
"2017-04-28","000605","0",34.993,0,0,0,-18000,0,0
"2017-04-28","600008","0",7.42,0,0,0,-96200,0,0
"2017-04-28","002460","0",42.1,0,0,31400,0,0,0
"2017-05-02","002460","0",42.96,0,0,0,-8700,0,0
"2017-05-02","002460","0",43.06,0,0,0,-22700,0,0
"2017-05-02","000605","0",35.708,0,0,37800,0,0,0
"2017-05-03","601628","0",25.73,0,0,0,0,53000,0
"2017-05-03","000605","0",36.16,0,0,0,-37800,0,0
"2017-05-03","300075","c",28.198,0,0,24000,0,0,0
"2017-05-04","300212","c",32.358,0,0,0,0,35300,0
"2017-05-04","300075","c",28.238,0,0,0,-24000,0,0
"2017-05-04","600008","0",7.82,0,0,89900,0,0,0
"2017-05-04","601628","0",26.05,0,0,0,-53000,0,0
"2017-05-25","002460","0",42.99,0,0,0,0,23700,0
"2017-05-26","002460","0",43.101,0,0,0,-23700,0,0
"2017-05-31","603385","0",34.4,0,0,29600,0,0,0
"2017-06-01","603385","0",30,0,0,0,-29600,0,0
"2017-06-02","002542","0",12.554,0,0,23400,0,0,0
"2017-06-02","600008","0",6.5,0,0,0,0,124500,0
"2017-06-26","002542","0",12.799,0,0,30800,0,0,0
"2017-06-26","600008","0",6.82,0,0,57800,0,0,0
"2017-06-27","600008","0",6.953,0,0,113700,0,0,0
"2017-06-27","002542","0",12.74,0,0,0,-9600,0,0
"2017-06-27","600008","0",6.92,0,0,0,-57800,0,0
"2017-06-27","002542","0",12.71,0,0,0,-21200,0,0
"2017-06-28","002460","0",45.882,0,0,16700,0,0,0
"2017-06-28","600008","0",6.77,0,0,0,-113700,0,0
"2017-06-28","600516","0",13.25,0,0,100,0,0,0
